name	description	season	episode	source
Rapsodia Bohemia	El Bebop tiene nuevamente problemas de dinero y un manual de cómo ser un buen ladrón está circulando por la red. Nadie sabe quién es el cerebro o cómo encontrarlo y lo único que tienen es una pieza de ajedrez, que Ed rastreará por la red. 	1	14	https://www.blogger.com/video.g?token=AD6v5dxEpaYM_C6Gy4hDNCYwfE3hiRi8vSFZUfczeGJsDakAnPwu8iBya5F4q785dzJmLbKGYrM25qm7Cn6eZ4_IMcpAHaepI3S82_TMBZzGXHKyN29xoM9Smcx2kGZ1AsXYFXc9xQ
Mi querida Valentine	Esta vez se cuenta el pasado de Faye y cómo llegó hasta ahora. Su memoria está dañada y no recuerda nada de todos los años de vida de antes de su hibernación. Pero, ¿por qué hibernó y con qué fin? 	1	15	https://www.blogger.com/video.g?token=AD6v5dz0Dc2m12t4hRxd2n_JuCZfw08i3WECwgW1EcisesD0W-Dj_PjPA00tILk0iSNqxapFDz5zStk1dG1NLPfIuiB8vUHKi0LfagGAC_JcRVDU2QZOJddGegZPPivlELs3wRbaXQSi
La serenata del perro negro	Yendo a la caza de un asesino, un antiguo compañero de Jet le pide ayuda. Se descubre cómo perdió el brazo Jet y por qué. 	1	16	https://www.blogger.com/video.g?token=AD6v5dzxBPa7hcVcIdsGnZ1YJzSegZJJU0opmNS8CwdGJX8_X7IAC-cOFk4svSdvIaBKi9LJxabwmdfamlsVJYPYTT48u0AEn9z0vV6NDgZ8__n_JAYBwexcy6hYe1AvC_Z2nB7s62ur
La samba de las setas	Ed y Ein deciden ir tras la pista de un traficante de setas y dan a probar a los tripulantes del Bebop dichas setas... con un pésimo resultado. 	1	17	https://www.blogger.com/video.g?token=AD6v5dx_La-W7sBwTqsd2jLApHLq7GYxEp2NMUYXh7XHw8dBvGm8HiEpezGgJPKoPJag5-KZf0tS9LokFXCqAjr6JbLIIwSYdaKM_lJNTrGzKQ61LsT3_B9UuIop-mxnefABJUL6ghI
Habla como un niño	Faye recibe un extraño paquete de remitente anónimo. Pero Ed les explica a los tripulantes del Bebop que solo puede verse con un vídeo en formato BETA, algo ya obsoleto en esos tiempos. Cuando Faye consigue ver el vídeo, no sabe qué hacer. 	1	18	https://www.blogger.com/video.g?token=AD6v5dyKazZ4aF8WOsZaSPWSaQ2MpQT545nioi2AyEkvO6SrmitOm84_sGfrjb-_Tb5PA7t8vQJQRMnHiZxhlrF_ex9B-CBV0tA71MvB2UgTlFRCXlloJMZNATzVrQAEhgMaaTSWaOOb
Caballos salvajes	Spike va a reparar su nave, el Swordfish II, dejando solos a los demás, que se enfrentan a unos peligrosos hackers y consiguen salir ilesos. Esta vez contarán con Spike y su nave reparada para conseguir darles captura. 	1	19	https://www.blogger.com/video.g?token=AD6v5dzH4gninEqKbI1VGnvqEqTCboaVy3hA4UBRbq4ZIivfGrq_b30KtMAgSaBwcBz7wwe4hn7NJJZvvDYxNTc6bvMkIAGWlOHIUEm96OcDoT_pihRlKt-6TCh0hgKr1too3mGt52Y
Pierrot el loco	Spike se enfrenta a un hombre extraño al que no le asusta nada y tiene una extraña capacidad para salir ileso de las situaciones peligrosas. ¿Podrá Spike salir indemne de este demente salido de un laboratorio? 	1	20	https://www.blogger.com/video.g?token=AD6v5dzorQjl1DWh_3vqppMbFLiMHAX2mchJYhrBXbFmgf7-YiC65Eaor1eSpstKF0AmLNd5SCTL_6RZfuVnd7UGM6r3ZmeYLmwfdznWqaRG8LULQbVDExDmgnM_lJ5W8d3wxkQGT94v
Boogie Woogie Feng Sui	Jet se dirige a ver a Pao, un antiguo amigo y descubre que ya está muerto. Pero su hija, una intérprete de la tabla del feng shui, le cuenta que antes de morir, su padre escondió un tesoro y la brújula les llevará allí. Aunque ellos dos no son los únicos que lo buscan. 	1	21	https://www.blogger.com/video.g?token=AD6v5dyVCj0D9k7SHNKvJdzVq2rpA-C7MDyxrtf0EoJPSlsQc5mmfKJ1EfWQ0KSXSby76haXY4TDicgK9_o9OU23ItYnOQrQGp0IG54lSuZ1u-B6_zhWtO_yFOPRpBWqhF4oUqjt6qc
Terror Cowboy	Spike consigue atrapar a su presa, un terrorista fabricante de explosivos, pero antes de que consiga entregarlo, un «cowboy de verdad», como se denomina él mismo, le corta el paso, confundiéndole a él con el terrorista. Después de esto, Spike se lo encontrará una y otra vez sin descanso. 	1	22	https://www.blogger.com/video.g?token=AD6v5dze9slToSwFDe6CrKjq6PXtUQo7HYXuNnlmsqaiIp4RZ1hpgI1nOTK0268sGuhxpuUKbSA9rC0r2ff4IA4ZlwLysEDMJ2nbylmPCByxUjvnWhb5KUtpOJGMS6Z0o-HWM38ytw-T
Arañazo cerebral	Una extraña secta de fanáticos está expandiéndose por todo el universo y ni siquiera Ed es capaz de encontrar a su cabecilla. Por esto, Faye se infiltra entre los sectarios, pero cae en sus garras. 	1	23	https://www.blogger.com/video.g?token=AD6v5dyfMmWXT4f8Ig2XHdvXzdezaQClY1kVf62cAmoTbZB6guv6x3B1Ai7_BaCXCcYmqzdpWjl1cIMRPu0OLYrnb7p6ypL5MqAwE4SqAwG4BH3J9UNdOjgDP8k7TLfb4wezcifi9aUI
El destino de la mujer es duro	Faye ve una vez más el vídeo que le mandaron y decide buscar el lugar desde donde se grabó, por lo que acaba por ir a la Tierra con Ed. La pequeña y Spike conocen al padre de Ed, que la dejó en un orfanato de la Tierra. 	1	24	https://www.blogger.com/video.g?token=AD6v5dwKTadmWhPDLaPiIsdNSO-McTD2-JWjdhbnb7fS8kyFpLPXVumfexgPe1CfyhNFeSajim4wxLOhBVnh6V-I9hRcs0WAEiIpkXaH9tXDGVYiNxjF2GIOZtCRbiiy2Lnv99_1_K6j
El verdadero blues de la gente (1)	Vicius trata de asesinar a los tres jefes del Dragón Rojo, pero la organización le tiende una trampa y lo detienen. Spike se encuentra con Shin, el hermano de Lin, quien le pide ayuda para liberar a Vicious porque se lo ha pedido Julia. Salen los recuerdos de Spike y la propia Julia, que conoce a Faye. Al fin se sabe la historia de Spike. 	1	25	https://www.blogger.com/video.g?token=AD6v5dyoSHHhVtrVwnYm_fGvgEh5iYSuSvZvASvd6w7fgl0dkrFMsNUXRjYeQ-yfqsvF6ahE4_0o_ahbhI_wEINdrHR1-IPdcTfuTP-ptCpy5DN9b-Fw7o0c7Sipi39jelh0Ajl3Dsfi
El verdadero blues de la gente (2)	Faye ha ido a por sus recuerdos, Ed se fue en busca de su padre y se llevó a Ein. Spike se dirige al último enfrentamiento con Vicious, ahora líder del Dragón Rojo. Por otro lado, Jet está solo en su nave, como al comienzo de todo. 	1	26	https://www.blogger.com/video.g?token=AD6v5dx3x3aAPRtbXi__Ys72l6U09AU5A6O0Iy7rEMlUUxtyBdNdKdJBK5hYwcdkq-A7nLb5qCsdVHR9C9__6Saa0eRSheFDhhEVccIpfKPUM7jFQjAhr2aElUgIt-6mlZeOXxtrU1s
